Composition,
Date Added,2019-09-18
Formula,
Grain Size Description,<25.0um
Grain Size,0.0 - 25.0
Locality,
Minimum Wavelength,1428
Sample Name,"A-87272,96"
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BIR1MP094A
Original Sample ID,MP-TXH-094-A
Viewing Geometry,
Wavelength,Response
1428.42,341.296
1428.82,341.1
1429.21,341.456
1429.6,341.974
1430.0,341.339
1430.39,341.353
1430.79,340.764
1431.18,340.391
1431.58,341.176
1431.97,341.448
1432.37,341.162
1432.77,340.87
1433.16,341.503
1433.56,342.758
1433.95,343.273
1434.35,342.597
1434.75,341.524
1435.14,341.374
1435.54,341.925
1435.94,341.745
1436.34,341.836
1436.74,342.361
1437.13,341.87
1437.53,341.518
1437.93,341.731
1438.33,342.124
1438.73,341.569
1439.13,341.549
1439.53,342.224
1439.93,341.834
1440.33,341.252
1440.73,341.637
1441.13,342.048
1441.53,342.504
1441.93,343.257
1442.33,342.914
1442.73,342.242
1443.13,341.612
1443.54,341.696
1443.94,342.411
1444.34,342.943
1444.74,342.853
1445.14,343.169
1445.55,343.143
1445.95,342.235
1446.35,341.91
1446.76,342.743
1447.16,342.592
1447.57,342.88
1447.97,343.605
1448.37,343.098
1448.78,341.804
1449.18,341.493
1449.59,341.237
1449.99,341.607
1450.4,342.475
1450.81,343.057
1451.21,342.598
1451.62,342.12
1452.03,342.733
1452.43,342.919
1452.84,343.018
1453.25,343.734
1453.65,343.303
1454.06,342.878
1454.47,343.367
1454.88,343.312
1455.29,342.83
1455.69,343.195
1456.1,343.503
1456.51,342.779
1456.92,342.681
1457.33,342.875
1457.74,343.06
1458.15,342.839
1458.56,342.6
1458.97,342.47
1459.38,342.627
1459.79,342.667
1460.2,342.142
1460.62,342.063
1461.03,342.649
1461.44,342.942
1461.85,342.865
1462.26,342.187
1462.68,342.431
1463.09,343.176
1463.5,343.458
1463.91,342.729
1464.33,342.95
1464.74,343.608
1465.16,343.216
1465.57,343.116
1465.98,343.401
1466.4,343.431
1466.81,343.462
1467.23,343.171
1467.64,343.174
1468.06,343.191
1468.48,343.041
1468.89,343.009
1469.31,342.818
1469.72,343.338
1470.14,343.424
1470.56,343.287
1470.97,343.241
1471.39,343.189
1471.81,343.25
1472.23,343.502
1472.65,343.612
1473.06,343.557
1473.48,342.979
1473.9,342.977
1474.32,343.157
1474.74,343.671
1475.16,343.933
1475.58,344.031
1476.0,343.98
1476.42,343.482
1476.84,343.148
1477.26,343.465
1477.68,343.978
1478.1,343.621
1478.53,343.198
1478.95,343.139
1479.37,342.925
1479.79,343.245
1480.21,344.009
1480.64,344.098
1481.06,343.793
1481.48,343.78
1481.91,343.497
1482.33,343.444
1482.75,343.634
1483.18,343.824
1483.6,343.775
1484.03,344.106
1484.45,343.971
1484.88,343.449
1485.3,343.564
1485.73,343.854
1486.15,344.102
1486.58,344.223
1487.01,344.178
1487.43,344.26
1487.86,344.23
1488.29,344.538
1488.71,343.761
1489.14,342.964
1489.57,343.015
1490.0,343.483
1490.43,343.824
1490.85,343.713
1491.28,343.913
1491.71,343.549
1492.14,342.99
1492.57,342.955
1493.0,342.931
1493.43,343.244
1493.86,343.68
1494.29,343.85
1494.72,343.447
1495.15,343.117
1495.58,343.162
1496.02,343.565
1496.45,344.08
1496.88,343.581
1497.31,342.787
1497.74,342.41
1498.18,342.787
1498.61,342.889
1499.04,343.492
1499.48,343.617
1499.91,343.112
1500.35,343.221
1500.78,343.51
1501.21,343.046
1501.65,342.887
1502.08,343.323
1502.52,342.978
1502.95,342.754
1503.39,343.074
1503.83,343.118
1504.26,342.741
1504.7,342.686
1505.14,342.782
1505.57,342.789
1506.01,342.78
1506.45,343.04
1506.89,342.724
1507.32,342.325
1507.76,342.095
1508.2,342.284
1508.64,342.434
1509.08,342.554
1509.52,342.372
1509.96,342.484
1510.4,343.1
1510.84,343.104
1511.28,343.134
1511.72,343.195
1512.16,342.708
1512.6,342.596
1513.04,342.411
1513.48,342.279
1513.93,342.067
1514.37,341.947
1514.81,342.096
1515.25,342.209
1515.7,342.061
1516.14,342.086
1516.58,341.848
1517.03,341.601
1517.47,341.368
1517.92,341.603
1518.36,341.739
1518.8,341.232
