Composition,
Date Added,2005-02-09
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,1667
Sample Name,NWA 3118 (CV3) dark inclusion <125 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BMR1MP130
Original Sample ID,MP-TXH-130
Viewing Geometry,
Wavelength,Response
1666.7,105.17
1667.3,105.15
1667.8,105.11
1668.3,105.13
1668.9,105.1
1669.4,105.15
1670.0,105.21
1670.5,105.2
1671.0,105.16
1671.6,105.13
1672.1,105.13
1672.7,105.15
1673.2,105.21
1673.7,105.1
1674.3,105.05
1674.8,105.14
1675.4,105.17
1675.9,105.31
1676.4,105.21
1677.0,105.05
1677.5,105.17
1678.1,105.21
1678.6,105.32
1679.2,105.36
1679.7,105.31
1680.3,105.23
1680.8,105.07
1681.3,105.08
1681.9,105.24
1682.4,105.31
1683.0,105.29
1683.5,105.19
1684.1,105.16
1684.6,105.18
1685.2,105.17
1685.7,105.19
1686.3,105.21
1686.8,105.18
1687.3,105.26
1687.9,105.28
1688.4,105.14
1689.0,105.1
1689.6,105.14
1690.1,105.22
1690.7,105.23
1691.2,105.12
1691.8,105.11
1692.3,105.17
1692.9,105.13
1693.4,105.09
1694.0,105.13
1694.5,105.19
1695.1,105.25
1695.6,105.22
1696.2,105.22
1696.7,105.22
1697.3,105.27
1697.8,105.31
1698.4,105.33
1699.0,105.34
1699.5,105.35
1700.1,105.28
1700.6,105.26
1701.2,105.32
1701.8,105.29
1702.3,105.1
1702.9,104.99
1703.4,105.07
1704.0,105.16
1704.6,105.28
1705.1,105.27
1705.7,105.09
1706.2,105.18
1706.8,105.31
1707.4,105.3
1707.9,105.31
1708.5,105.38
1709.1,105.42
1709.6,105.36
1710.2,105.36
1710.7,105.32
1711.3,105.24
1711.9,105.28
1712.4,105.34
1713.0,105.37
1713.6,105.33
1714.1,105.24
1714.7,105.22
1715.3,105.24
1715.8,105.23
1716.4,105.23
1717.0,105.18
1717.5,105.19
1718.1,105.26
1718.7,105.27
1719.3,105.27
1719.8,105.34
1720.4,105.31
1721.0,105.22
1721.5,105.23
1722.1,105.27
1722.7,105.3
1723.3,105.24
1723.8,105.15
1724.4,105.18
1725.0,105.23
1725.5,105.27
1726.1,105.32
1726.7,105.26
1727.3,105.19
1727.8,105.16
1728.4,105.22
1729.0,105.29
1729.6,105.3
1730.2,105.23
1730.7,105.2
1731.3,105.16
1731.9,105.09
1732.5,105.21
1733.0,105.3
1733.6,105.23
1734.2,105.21
1734.8,105.21
1735.4,105.23
1735.9,105.31
1736.5,105.31
1737.1,105.28
1737.7,105.27
1738.3,105.23
1738.8,105.24
1739.4,105.26
1740.0,105.27
