Composition,
Date Added,2004-09-24
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,DaG 430 (Ung) <125 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1MP127
Original Sample ID,MP-TXH-127
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,53.4
305.0,57.19
310.0,59.32
315.0,62.11
320.0,64.45
325.0,67.26
330.0,70.5
335.0,73.21
340.0,76.55
345.0,79.27
350.0,82.03
355.0,84.74
360.0,87.35
365.0,90.98
370.0,94.06
375.0,97.16
380.0,99.99
385.0,103.02
390.0,106.42
395.0,109.82
400.0,112.26
405.0,114.8
410.0,117.53
415.0,120.44
420.0,123.16
425.0,125.67
430.0,128.21
435.0,130.3
440.0,132.28
445.0,134.13
450.0,135.6
455.0,137.05
460.0,138.64
465.0,139.83
470.0,141.15
475.0,142.63
480.0,144.21
485.0,145.35
490.0,146.94
495.0,148.54
500.0,150.51
505.0,151.92
510.0,153.81
515.0,155.26
520.0,156.97
525.0,157.95
530.0,159.54
535.0,161.08
540.0,162.61
545.0,163.82
550.0,165.19
555.0,166.56
560.0,167.71
565.0,168.12
570.0,169.23
575.0,170.58
580.0,171.61
585.0,172.53
590.0,173.62
595.0,174.57
600.0,175.57
605.0,176.46
610.0,177.37
615.0,177.99
620.0,178.88
625.0,179.32
630.0,180.06
635.0,180.7
640.0,181.2
645.0,181.78
650.0,182.25
655.0,182.66
660.0,183.02
665.0,183.5
670.0,183.88
675.0,184.11
680.0,184.33
685.0,184.38
690.0,184.61
695.0,184.45
700.0,184.74
705.0,184.84
710.0,185.19
715.0,185.29
720.0,185.41
725.0,185.7
730.0,185.83
735.0,185.6
740.0,185.67
745.0,185.78
750.0,185.67
755.0,185.6
760.0,185.68
765.0,185.57
770.0,185.52
775.0,185.48
780.0,185.17
785.0,185.37
790.0,185.11
795.0,184.8
800.0,184.73
805.0,184.53
810.0,184.13
815.0,183.91
820.0,183.55
825.0,183.26
830.0,182.87
835.0,182.61
840.0,182.2
845.0,181.95
850.0,181.71
855.0,181.44
