Composition,
Date Added,2016-02-04
Formula,
Grain Size Description,<um
Grain Size, - 
Locality,
Minimum Wavelength,300
Sample Name,"QUE 97077,14 chip"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,CAMP232
Original Sample ID,MP-TXH-232
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,34.92
305.0,35.8
310.0,35.2
315.0,36.63
320.0,37.04
325.0,37.37
330.0,38.04
335.0,38.59
340.0,39.14
345.0,39.78
350.0,40.29
355.0,40.35
360.0,41.17
365.0,41.74
370.0,42.44
375.0,43.12
380.0,43.61
385.0,44.1
390.0,44.62
395.0,45.17
400.0,45.84
405.0,46.12
410.0,46.45
415.0,46.86
420.0,47.2
425.0,47.46
430.0,47.92
435.0,48.31
440.0,48.45
445.0,48.69
450.0,48.81
455.0,48.96
460.0,49.06
465.0,49.41
470.0,49.64
475.0,50.01
480.0,50.07
485.0,50.49
490.0,50.75
495.0,50.92
500.0,51.02
505.0,51.46
510.0,51.68
515.0,51.88
520.0,52.27
525.0,52.25
530.0,52.47
535.0,52.46
540.0,52.56
545.0,52.74
550.0,52.79
555.0,52.85
560.0,52.88
565.0,52.99
570.0,52.86
575.0,52.88
580.0,52.82
585.0,52.88
590.0,52.81
595.0,52.69
600.0,52.61
605.0,52.47
610.0,52.45
615.0,52.36
620.0,52.32
625.0,52.16
630.0,52.13
635.0,52.06
640.0,52.03
645.0,51.81
650.0,51.69
655.0,51.58
660.0,51.51
665.0,51.51
670.0,51.5
675.0,51.36
680.0,51.41
685.0,51.42
690.0,51.23
695.0,51.17
700.0,51.19
705.0,51.19
710.0,51.1
715.0,51.07
720.0,51.05
725.0,51.04
730.0,51.0
735.0,50.89
740.0,50.97
745.0,50.88
750.0,51.0
755.0,50.94
760.0,50.97
765.0,50.9
770.0,50.8
775.0,50.8
780.0,50.9
785.0,50.72
790.0,50.79
795.0,50.79
800.0,50.73
805.0,50.8
810.0,50.81
815.0,50.84
820.0,50.77
825.0,50.77
830.0,50.75
835.0,50.79
840.0,50.79
845.0,50.8
850.0,50.81
855.0,50.81
860.0,50.79
865.0,50.78
870.0,50.76
875.0,50.7
880.0,50.67
885.0,50.6
890.0,50.58
895.0,50.53
900.0,50.66
905.0,50.51
910.0,50.5
915.0,50.41
920.0,50.4
925.0,50.47
930.0,50.64
935.0,50.67
940.0,50.8
945.0,50.88
950.0,50.9
955.0,50.96
960.0,50.92
965.0,51.04
970.0,51.06
975.0,51.1
980.0,51.07
985.0,51.12
990.0,51.14
995.0,51.15
1000.0,51.13
1005.0,51.14
1010.0,51.14
1015.0,51.15
1020.0,51.25
1025.0,51.3
1030.0,51.37
1035.0,51.46
1040.0,51.54
1045.0,51.45
1050.0,51.43
1055.0,51.38
1060.0,51.38
1065.0,51.31
1070.0,51.35
1075.0,51.33
1080.0,51.36
1085.0,51.38
1090.0,51.38
1095.0,51.42
1100.0,51.56
1105.0,51.58
1110.0,51.55
1115.0,51.59
1120.0,51.62
1125.0,51.56
1130.0,51.73
1135.0,51.62
1140.0,51.7
1145.0,51.68
1150.0,51.56
1155.0,51.67
1160.0,51.65
1165.0,51.73
1170.0,51.75
1175.0,51.81
1180.0,51.84
1185.0,51.86
1190.0,51.89
1195.0,51.96
1200.0,51.97
1205.0,52.0
1210.0,52.06
1215.0,52.13
1220.0,52.18
1225.0,52.3
1230.0,52.34
1235.0,52.43
1240.0,52.47
1245.0,52.51
1250.0,52.58
1255.0,52.62
1260.0,52.61
1265.0,52.63
1270.0,52.61
1275.0,52.56
1280.0,52.65
1285.0,52.58
1290.0,52.61
1295.0,52.72
1300.0,52.85
1305.0,52.92
1310.0,53.01
1315.0,53.06
1320.0,53.12
1325.0,53.22
1330.0,53.31
1335.0,53.26
1340.0,53.2
1345.0,53.22
1350.0,53.24
1355.0,53.28
1360.0,53.35
1365.0,53.44
1370.0,53.45
1375.0,53.49
1380.0,53.5
1385.0,53.5
1390.0,53.58
1395.0,53.6
1400.0,53.63
1405.0,53.7
1410.0,53.82
1415.0,53.83
1420.0,53.9
1425.0,53.96
1430.0,54.03
1435.0,54.13
1440.0,54.18
1445.0,54.3
1450.0,54.39
1455.0,54.48
1460.0,54.53
1465.0,54.54
1470.0,54.38
1475.0,54.49
1480.0,54.63
1485.0,54.67
1490.0,54.75
1495.0,54.76
1500.0,54.77
1505.0,54.79
1510.0,54.9
1515.0,55.05
1520.0,55.16
1525.0,55.22
1530.0,55.21
1535.0,55.19
1540.0,55.14
1545.0,55.16
1550.0,55.2
1555.0,55.39
1560.0,55.32
1565.0,55.34
1570.0,55.32
1575.0,55.33
1580.0,55.27
1585.0,55.25
1590.0,55.24
1595.0,55.29
1600.0,55.46
1605.0,55.49
1610.0,55.38
1615.0,55.3
1620.0,55.5
1625.0,55.55
1630.0,55.55
1635.0,55.5
1640.0,55.51
1645.0,55.53
1650.0,55.57
1655.0,55.62
1660.0,55.68
1665.0,55.73
1670.0,55.78
1675.0,55.9
1680.0,55.74
1685.0,55.72
1690.0,55.67
1695.0,55.66
1700.0,55.69
1705.0,55.75
1710.0,55.72
1715.0,55.73
1720.0,55.74
1725.0,55.75
1730.0,55.84
1735.0,55.79
1740.0,55.74
1745.0,55.66
1750.0,55.64
1755.0,55.7
1760.0,55.72
1765.0,55.72
1770.0,55.83
1775.0,55.8
1780.0,55.68
1785.0,55.72
1790.0,55.61
1795.0,55.51
1800.0,55.62
1805.0,55.62
1810.0,55.66
1815.0,55.65
1820.0,55.59
1825.0,55.46
1830.0,55.56
1835.0,55.47
1840.0,55.55
1845.0,55.45
1850.0,55.55
1855.0,55.63
1860.0,55.58
1865.0,55.49
1870.0,55.38
1875.0,55.45
1880.0,55.54
1885.0,55.48
1890.0,55.25
1895.0,55.27
1900.0,55.26
1905.0,55.29
1910.0,55.29
1915.0,55.33
1920.0,55.27
1925.0,54.97
1930.0,55.03
1935.0,55.0
1940.0,55.08
1945.0,55.04
1950.0,54.96
1955.0,54.98
1960.0,55.09
1965.0,54.97
1970.0,54.98
1975.0,54.78
1980.0,54.74
1985.0,54.92
1990.0,54.87
1995.0,55.03
2000.0,54.88
2005.0,55.08
2010.0,55.04
2015.0,55.1
2020.0,54.83
