Composition,
Date Added,2017-10-12
Formula,
Grain Size Description,<um
Grain Size, - 
Locality,
Minimum Wavelength,250
Sample Name,"Y 981031,20 chip"
Maximum Wavelength,2500
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,CBMP250
Original Sample ID,MP-TXH-250
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
250.0,69.13
255.0,69.53
260.0,69.93
265.0,70.36
270.0,71.13
275.0,72.03
280.0,72.92
285.0,73.32
290.0,73.99
295.0,74.97
300.0,75.91
305.0,76.99
310.0,78.19
315.0,79.35
320.0,81.0
325.0,82.29
330.0,83.72
335.0,85.31
340.0,86.85
345.0,88.6
350.0,90.37
355.0,92.33
360.0,94.27
365.0,96.3
370.0,98.37
375.0,100.36
380.0,102.22
385.0,104.0
390.0,105.57
395.0,107.09
400.0,108.51
405.0,109.91
410.0,111.27
415.0,112.95
420.0,114.16
425.0,115.51
430.0,117.04
435.0,118.74
440.0,120.28
445.0,121.48
450.0,122.38
455.0,123.18
460.0,124.29
465.0,125.1
470.0,125.84
475.0,126.7
480.0,127.62
485.0,128.48
490.0,129.38
495.0,130.35
500.0,131.35
505.0,132.03
510.0,132.97
515.0,134.48
520.0,135.77
525.0,136.74
530.0,137.66
535.0,138.44
540.0,139.04
545.0,139.49
550.0,140.04
555.0,140.67
560.0,141.36
565.0,141.83
570.0,142.3
575.0,142.76
580.0,143.09
585.0,143.35
590.0,143.59
595.0,143.77
600.0,143.91
605.0,144.0
610.0,144.12
615.0,144.23
620.0,144.34
625.0,144.39
630.0,144.56
635.0,144.7
640.0,144.93
645.0,145.16
650.0,145.42
655.0,145.65
660.0,145.87
665.0,146.15
670.0,146.32
675.0,146.3
680.0,146.36
685.0,146.89
690.0,146.94
695.0,147.04
700.0,147.17
705.0,147.21
710.0,146.85
715.0,147.31
720.0,146.95
725.0,146.84
730.0,146.75
735.0,146.66
740.0,146.48
745.0,146.07
750.0,145.75
755.0,145.4
760.0,145.02
765.0,144.38
770.0,143.64
775.0,142.93
780.0,142.16
785.0,141.34
790.0,140.46
795.0,139.34
800.0,138.25
805.0,137.16
810.0,136.05
815.0,134.87
820.0,133.72
825.0,132.42
830.0,131.1
835.0,129.89
840.0,128.71
845.0,127.49
850.0,126.34
855.0,125.2
860.0,124.14
865.0,123.09
870.0,122.2
875.0,121.25
880.0,120.3
885.0,119.34
890.0,118.78
895.0,118.1
900.0,117.43
905.0,116.69
910.0,116.0
915.0,115.27
920.0,114.59
925.0,114.08
930.0,113.66
