Composition,
Date Added,2007-03-26
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Dhajala (H3.8) <125 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,USNM 5832
Sample ID,C1OC20C
Original Sample ID,OC-TXH-020-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,87.18
305.0,91.27
310.0,95.16
315.0,95.93
320.0,98.72
325.0,102.94
330.0,105.74
335.0,108.37
340.0,111.48
345.0,115.34
350.0,117.45
355.0,120.04
360.0,123.63
365.0,126.55
370.0,129.34
375.0,130.98
380.0,133.39
385.0,135.34
390.0,137.14
395.0,138.4
400.0,140.2
405.0,141.75
410.0,143.16
415.0,144.74
420.0,146.04
425.0,147.49
430.0,148.98
435.0,150.75
440.0,152.54
445.0,154.13
450.0,155.58
455.0,157.39
460.0,159.05
465.0,160.66
470.0,162.02
475.0,163.61
480.0,165.09
485.0,166.29
490.0,167.62
495.0,168.79
500.0,170.26
505.0,171.59
510.0,173.31
515.0,174.92
520.0,176.38
525.0,178.14
530.0,179.69
535.0,181.29
540.0,183.07
545.0,184.07
550.0,185.34
555.0,185.6
560.0,186.65
565.0,187.5
570.0,188.35
575.0,188.84
580.0,189.28
585.0,189.8
590.0,190.31
595.0,190.73
600.0,191.18
605.0,191.67
610.0,192.33
615.0,192.99
620.0,193.58
625.0,194.34
630.0,195.14
635.0,195.91
640.0,196.78
645.0,197.4
650.0,198.11
655.0,198.47
660.0,199.01
665.0,199.36
670.0,200.07
675.0,200.48
680.0,201.18
685.0,201.5
690.0,201.81
695.0,202.42
700.0,202.71
705.0,203.34
710.0,203.7
715.0,204.13
720.0,204.53
725.0,205.09
730.0,204.88
735.0,205.05
740.0,205.08
745.0,205.06
750.0,204.94
755.0,204.57
760.0,204.2
765.0,203.72
770.0,203.15
775.0,202.21
780.0,201.29
785.0,200.45
790.0,199.31
795.0,197.83
800.0,196.91
805.0,195.63
810.0,193.97
815.0,192.21
820.0,190.59
825.0,189.32
830.0,187.35
835.0,185.99
840.0,184.19
845.0,182.67
850.0,180.98
855.0,179.42
860.0,177.45
865.0,177.1
870.0,175.15
875.0,174.43
880.0,172.61
885.0,172.63
890.0,171.49
895.0,171.3
900.0,170.28
905.0,169.85
910.0,169.88
915.0,168.87
920.0,168.83
925.0,168.8
930.0,168.61
935.0,168.8
940.0,169.26
945.0,170.11
950.0,170.13
955.0,171.03
960.0,171.32
965.0,171.95
970.0,173.43
975.0,174.01
980.0,174.99
985.0,175.23
990.0,176.14
995.0,177.1
1000.0,177.45
1005.0,178.1
1010.0,179.54
1015.0,179.61
1020.0,179.96
1025.0,181.17
1030.0,181.74
1035.0,182.15
1040.0,183.11
1045.0,183.42
1050.0,184.06
1055.0,184.57
1060.0,185.47
1065.0,186.08
1070.0,186.56
1075.0,187.43
1080.0,187.76
1085.0,188.4
1090.0,189.69
1095.0,189.85
1100.0,191.09
1105.0,192.03
1110.0,193.18
1115.0,193.56
1120.0,194.38
1125.0,195.57
1130.0,196.11
1135.0,197.25
1140.0,197.5
1145.0,198.29
1150.0,198.8
1155.0,199.03
1160.0,200.26
1165.0,200.71
1170.0,200.95
1175.0,201.48
1180.0,202.41
1185.0,202.78
1190.0,203.25
1195.0,203.13
1200.0,204.36
1205.0,204.14
1210.0,204.09
1215.0,204.96
1220.0,205.12
1225.0,205.12
1230.0,205.87
1235.0,205.62
1240.0,206.44
1245.0,206.81
1250.0,206.88
1255.0,207.19
1260.0,207.6
1265.0,207.65
1270.0,208.34
1275.0,208.75
1280.0,209.06
1285.0,209.1
1290.0,209.77
1295.0,209.95
1300.0,210.72
1305.0,210.9
1310.0,211.74
1315.0,212.08
1320.0,212.09
1325.0,212.69
1330.0,213.13
1335.0,213.51
1340.0,214.17
1345.0,214.28
1350.0,214.63
1355.0,214.7
1360.0,214.92
1365.0,215.32
1370.0,216.09
1375.0,216.76
1380.0,216.5
1385.0,217.57
1390.0,217.92
1395.0,218.58
1400.0,218.88
1405.0,219.38
1410.0,220.31
1415.0,220.23
1420.0,220.84
1425.0,221.41
1430.0,221.83
1435.0,221.87
1440.0,222.41
1445.0,222.97
1450.0,222.89
1455.0,223.3
1460.0,223.5
1465.0,224.06
1470.0,223.91
1475.0,223.94
1480.0,224.15
1485.0,224.4
1490.0,224.73
1495.0,224.47
1500.0,224.76
1505.0,225.0
1510.0,224.57
1515.0,224.66
1520.0,224.78
1525.0,224.6
1530.0,224.57
1535.0,225.01
1540.0,224.9
1545.0,224.52
1550.0,224.69
1555.0,224.86
1560.0,224.45
1565.0,224.17
1570.0,223.83
1575.0,223.72
1580.0,223.61
1585.0,223.63
1590.0,223.12
1595.0,222.84
1600.0,222.42
1605.0,222.3
1610.0,221.98
1615.0,221.58
1620.0,220.87
1625.0,220.93
1630.0,220.33
1635.0,220.2
1640.0,219.42
1645.0,219.42
1650.0,218.59
1655.0,217.89
1660.0,218.02
1665.0,217.9
1670.0,217.49
1675.0,217.0
1680.0,216.86
1685.0,216.31
1690.0,215.73
1695.0,215.36
1700.0,214.36
1705.0,214.43
1710.0,214.25
1715.0,213.86
1720.0,213.39
1725.0,213.1
1730.0,212.72
1735.0,211.92
1740.0,211.55
1745.0,210.84
1750.0,210.99
1755.0,210.59
1760.0,210.58
1765.0,209.44
1770.0,209.63
1775.0,209.01
1780.0,209.03
1785.0,208.26
1790.0,207.51
1795.0,207.8
1800.0,207.49
1805.0,206.74
1810.0,206.48
1815.0,205.44
1820.0,205.44
1825.0,205.55
1830.0,204.89
1835.0,204.21
1840.0,203.3
1845.0,203.54
1850.0,203.38
1855.0,203.28
1860.0,202.99
1865.0,203.42
1870.0,201.99
1875.0,201.31
1880.0,201.51
1885.0,201.55
1890.0,201.41
1895.0,201.17
1900.0,200.53
1905.0,200.21
1910.0,199.91
1915.0,200.96
1920.0,200.69
1925.0,200.66
1930.0,200.07
1935.0,200.96
1940.0,200.68
1945.0,201.16
1950.0,200.26
1955.0,200.48
1960.0,200.4
1965.0,201.64
1970.0,201.09
1975.0,201.44
1980.0,201.78
1985.0,201.21
1990.0,201.82
1995.0,201.07
2000.0,201.29
2005.0,200.47
2010.0,200.56
2015.0,200.62
2020.0,201.23
2025.0,201.29
2030.0,201.37
2035.0,201.05
2040.0,201.31
2045.0,201.67
2050.0,201.28
2055.0,202.68
2060.0,202.21
2065.0,201.99
2070.0,202.37
2075.0,202.44
2080.0,202.38
2085.0,203.36
2090.0,203.36
2095.0,203.37
2100.0,203.67
2105.0,203.89
2110.0,204.15
2115.0,204.25
2120.0,204.15
2125.0,205.34
2130.0,204.66
2135.0,204.73
2140.0,205.6
2145.0,205.71
2150.0,205.83
2155.0,205.88
2160.0,205.7
2165.0,206.0
2170.0,206.6
2175.0,206.48
2180.0,206.66
2185.0,206.62
2190.0,206.75
2195.0,207.28
2200.0,206.97
2205.0,207.38
2210.0,207.48
2215.0,207.62
2220.0,208.2
2225.0,208.69
2230.0,208.01
2235.0,207.73
2240.0,208.48
2245.0,208.79
2250.0,208.72
2255.0,208.35
2260.0,208.98
2265.0,209.38
2270.0,210.27
2275.0,210.16
2280.0,209.87
2285.0,210.6
2290.0,210.19
2295.0,210.63
2300.0,210.82
2305.0,210.66
2310.0,211.2
2315.0,211.59
2320.0,211.55
2325.0,211.56
2330.0,211.97
2335.0,212.64
2340.0,213.01
2345.0,212.63
2350.0,212.59
2355.0,212.24
2360.0,212.55
2365.0,212.51
2370.0,212.62
2375.0,213.43
2380.0,213.71
2385.0,214.37
2390.0,214.24
2395.0,214.78
2400.0,213.88
2405.0,214.59
2410.0,214.95
2415.0,215.57
2420.0,215.83
2425.0,215.92
2430.0,216.16
2435.0,216.59
2440.0,216.25
2445.0,216.45
2450.0,217.15
2455.0,216.57
2460.0,216.57
2465.0,217.65
2470.0,217.77
2475.0,217.48
2480.0,218.87
2485.0,218.11
2490.0,218.12
2495.0,218.93
2500.0,217.53
2505.0,218.59
2510.0,218.75
2515.0,219.5
2520.0,219.94
2525.0,220.47
2530.0,220.6
2535.0,221.1
2540.0,221.33
2545.0,222.08
2550.0,222.11
2555.0,221.68
2560.0,222.95
2565.0,222.94
2570.0,223.16
2575.0,223.09
2580.0,222.48
2585.0,223.42
2590.0,223.79
2595.0,224.77
2600.0,224.36
