Composition,
Date Added,1999-04-23
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,Olivine (Untreated) 
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Olivine for laser-irradiation experiment  
Sample ID,C1PO06
Original Sample ID,PO-TXH-006
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,227.22
305.0,243.27
310.0,261.39
315.0,282.29
320.0,305.49
325.0,337.33
330.0,370.0
335.0,402.63
340.0,438.3
345.0,471.3
350.0,503.39
355.0,531.28
360.0,556.76
365.0,576.47
370.0,592.35
375.0,604.34
380.0,614.46
385.0,621.21
390.0,633.97
395.0,641.46
400.0,645.29
405.0,662.25
410.0,672.54
415.0,676.62
420.0,680.01
425.0,682.84
430.0,685.01
435.0,690.4
440.0,695.14
445.0,694.99
450.0,695.01
455.0,700.32
460.0,708.14
465.0,712.8
470.0,718.84
475.0,730.08
480.0,736.75
485.0,737.33
490.0,741.19
495.0,744.28
500.0,761.43
505.0,771.35
510.0,777.85
515.0,782.72
520.0,785.96
525.0,790.28
530.0,794.11
535.0,800.49
540.0,805.93
545.0,810.72
550.0,815.14
555.0,818.08
560.0,819.16
565.0,819.64
570.0,816.59
575.0,817.08
580.0,814.41
585.0,812.74
590.0,809.23
595.0,807.85
600.0,804.49
605.0,801.25
610.0,796.43
615.0,792.19
620.0,787.64
625.0,781.45
630.0,779.22
635.0,777.76
640.0,777.68
645.0,778.98
650.0,780.03
655.0,781.47
660.0,783.94
665.0,784.06
670.0,784.06
675.0,782.98
680.0,782.94
685.0,777.97
690.0,775.54
695.0,771.17
700.0,767.09
705.0,763.38
710.0,756.97
715.0,751.98
720.0,746.55
725.0,737.44
730.0,731.06
735.0,724.27
740.0,717.63
745.0,711.62
750.0,703.66
755.0,696.59
760.0,689.62
765.0,681.53
770.0,674.25
775.0,665.71
780.0,659.44
785.0,652.67
790.0,645.62
795.0,638.42
800.0,632.47
805.0,628.19
810.0,621.67
815.0,616.91
820.0,612.79
825.0,607.39
830.0,603.46
835.0,601.31
840.0,596.24
