Composition,
Date Added,2009-02-03
Formula,
Grain Size Description,<2000.0um
Grain Size,(0.0 - 2000.0)
Locality,"Basaltic sand dunes between Northern edge of Vatnajokull and Askja volcano, Iceland"
Minimum Wavelength,320
Sample Name,3graysand_2_4
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Basaltic
References,
Resolution,10.0
Material class,Mixture
Sample Description,"Weathering/alteration down-core in Martian analog environments (Prop Prep, Student)"
Sample ID,C1UH08
Original Sample ID,UH-MBW-008
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,0.02533
330.0,0.02668
340.0,0.02765
350.0,0.02857
360.0,0.02979
370.0,0.03074
380.0,0.03153
390.0,0.03225
400.0,0.03283
410.0,0.03327
420.0,0.03363
430.0,0.03406
440.0,0.03436
450.0,0.03455
460.0,0.03459
470.0,0.03469
480.0,0.03484
490.0,0.03505
500.0,0.03529
510.0,0.03551
520.0,0.03573
530.0,0.03589
540.0,0.036
550.0,0.03609
560.0,0.03619
570.0,0.03626
580.0,0.03627
590.0,0.03631
600.0,0.03625
610.0,0.03624
620.0,0.03614
630.0,0.03607
640.0,0.036
650.0,0.03584
660.0,0.03562
670.0,0.03567
680.0,0.03567
690.0,0.03562
700.0,0.0356
710.0,0.03536
720.0,0.03516
730.0,0.03495
740.0,0.03478
750.0,0.03454
760.0,0.03431
770.0,0.03411
780.0,0.03387
790.0,0.0336
800.0,0.0332
810.0,0.03305
820.0,0.03278
830.0,0.03259
840.0,0.03234
850.0,0.03204
860.0,0.03185
870.0,0.03157
880.0,0.03131
890.0,0.03104
900.0,0.03089
910.0,0.0307
920.0,0.03059
930.0,0.03037
940.0,0.03018
950.0,0.02987
960.0,0.02959
970.0,0.02931
980.0,0.02896
990.0,0.02886
1000.0,0.02855
1010.0,0.02837
1020.0,0.02828
1030.0,0.02807
1040.0,0.02803
1050.0,0.02792
1060.0,0.02781
1070.0,0.02773
1080.0,0.02765
1090.0,0.02768
1100.0,0.02769
1110.0,0.02767
1120.0,0.0277
1130.0,0.02769
1140.0,0.02767
1150.0,0.02764
1160.0,0.02769
1170.0,0.02764
1180.0,0.02762
1190.0,0.02755
1200.0,0.02753
1210.0,0.02744
1220.0,0.02742
1230.0,0.02733
1240.0,0.02727
1250.0,0.02735
1260.0,0.02737
1270.0,0.02724
1280.0,0.02724
1290.0,0.02725
1300.0,0.02731
1310.0,0.02738
1320.0,0.02745
1330.0,0.02748
1340.0,0.02751
1350.0,0.02758
1360.0,0.02763
1370.0,0.02769
1380.0,0.02772
1390.0,0.02785
1400.0,0.02794
1410.0,0.02803
1420.0,0.02809
1430.0,0.02815
1440.0,0.02833
1450.0,0.02839
1460.0,0.02845
1470.0,0.02851
1480.0,0.02854
1490.0,0.02858
1500.0,0.02863
1510.0,0.02866
1520.0,0.02887
1530.0,0.02896
1540.0,0.02902
1550.0,0.02904
1560.0,0.02896
1570.0,0.02905
1580.0,0.02917
1590.0,0.0292
1600.0,0.02922
1610.0,0.02918
1620.0,0.02921
1630.0,0.02914
1640.0,0.02916
1650.0,0.0293
1660.0,0.02934
1670.0,0.02931
1680.0,0.02934
1690.0,0.02928
1700.0,0.02936
1710.0,0.0292
1720.0,0.02916
1730.0,0.0291
1740.0,0.02914
1750.0,0.02913
1760.0,0.02914
1770.0,0.02913
1780.0,0.02914
1790.0,0.0291
1800.0,0.02904
1810.0,0.02902
1820.0,0.02897
1830.0,0.02904
1840.0,0.02912
1850.0,0.0292
1860.0,0.02917
1870.0,0.02921
1880.0,0.02912
1890.0,0.02901
1900.0,0.02896
1910.0,0.02894
1920.0,0.02902
1930.0,0.02894
1940.0,0.02898
1950.0,0.029
1960.0,0.029
1970.0,0.02899
1980.0,0.02907
1990.0,0.02913
2000.0,0.02909
2010.0,0.02921
2020.0,0.02928
2030.0,0.02928
2040.0,0.02935
2050.0,0.02939
2060.0,0.02943
2070.0,0.02946
2080.0,0.02953
2090.0,0.0296
2100.0,0.0297
2110.0,0.02978
2120.0,0.0298
2130.0,0.02985
2140.0,0.02978
2150.0,0.02988
2160.0,0.02997
2170.0,0.03011
2180.0,0.03011
2190.0,0.03024
2200.0,0.03026
2210.0,0.03027
2220.0,0.03019
2230.0,0.03016
2240.0,0.03026
2250.0,0.03031
2260.0,0.03042
2270.0,0.0306
2280.0,0.03075
2290.0,0.03081
2300.0,0.03088
2310.0,0.03102
2320.0,0.03116
2330.0,0.0313
2340.0,0.03135
2350.0,0.03138
2360.0,0.03153
2370.0,0.03157
2380.0,0.0316
2390.0,0.03176
2400.0,0.03197
2410.0,0.03213
2420.0,0.03239
2430.0,0.0325
2440.0,0.0326
2450.0,0.0327
2460.0,0.03273
2470.0,0.03275
2480.0,0.03302
2490.0,0.03303
2500.0,0.03305
2510.0,0.03324
2520.0,0.03329
2530.0,0.03347
2540.0,0.03367
2550.0,0.03427
