Composition,
Date Added,2022-10-31
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,
Minimum Wavelength,833
Sample Name,SART-800030
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Rock
Sample Description,OSIRIS-REx SOPIE-2 SOI
Sample ID,BIRBVH002
Original Sample ID,VH-VEH-002
Viewing Geometry,unknown
Wavelength,Response
833.34,0.081806
833.47,0.081685
833.6,0.081119
833.74,0.081394
833.87,0.081698
834.01,0.080865
834.14,0.081787
834.28,0.081876
834.41,0.082627
834.54,0.083986
834.68,0.083778
834.81,0.082796
834.95,0.082107
835.08,0.081093
835.22,0.081336
835.35,0.082521
835.48,0.082321
835.62,0.081998
835.75,0.082539
835.89,0.082909
836.02,0.082984
836.16,0.08281
836.29,0.081954
836.43,0.082166
836.56,0.081713
836.7,0.080855
836.83,0.081718
836.97,0.082561
837.1,0.081637
837.24,0.081226
837.37,0.082279
837.51,0.082752
837.64,0.082223
837.78,0.081836
837.92,0.08138
838.05,0.081291
838.19,0.082075
838.32,0.081903
838.46,0.081347
838.59,0.081373
838.73,0.080686
838.86,0.081377
839.0,0.082376
839.14,0.081946
839.27,0.081542
839.41,0.080903
839.54,0.079852
839.68,0.079384
839.82,0.079339
839.95,0.079957
840.09,0.080254
840.22,0.081159
840.36,0.082384
840.5,0.082028
840.63,0.081575
840.77,0.08205
840.91,0.081558
841.04,0.081139
841.18,0.081967
841.31,0.081843
841.45,0.080541
841.59,0.080396
841.72,0.080569
841.86,0.080178
842.0,0.080583
842.13,0.080587
842.27,0.080673
842.41,0.081502
842.54,0.081312
842.68,0.080766
842.82,0.081146
842.96,0.080748
843.09,0.079715
843.23,0.08018
843.37,0.081367
843.5,0.081369
843.64,0.081279
843.78,0.081974
843.92,0.081956
844.05,0.08143
844.19,0.081063
844.33,0.080617
844.47,0.080799
844.6,0.080932
844.74,0.080716
844.88,0.080854
845.02,0.080127
845.15,0.079552
845.29,0.08041
845.43,0.080777
845.57,0.081052
845.71,0.081153
845.84,0.081232
845.98,0.07996
846.12,0.079102
846.26,0.079634
846.4,0.080015
846.53,0.080249
846.67,0.080396
846.81,0.080299
846.95,0.079545
847.09,0.079528
847.23,0.079693
847.36,0.079683
847.5,0.079866
847.64,0.080067
847.78,0.080587
847.92,0.080567
848.06,0.079644
848.2,0.07951
848.33,0.07966
848.47,0.07998
848.61,0.079981
848.75,0.079632
848.89,0.080213
849.03,0.081288
849.17,0.080608
849.31,0.079977
849.45,0.079782
849.59,0.079352
849.73,0.079341
849.86,0.079849
850.0,0.080478
850.14,0.080681
850.28,0.080261
850.42,0.079795
850.56,0.079247
850.7,0.07903
850.84,0.079666
850.98,0.080195
851.12,0.079985
851.26,0.078875
851.4,0.079053
851.54,0.079558
851.68,0.078945
851.82,0.078445
851.96,0.07912
852.1,0.079119
852.24,0.079428
852.38,0.080281
852.52,0.080473
852.66,0.080554
852.8,0.079955
852.94,0.079437
853.08,0.079897
853.22,0.079809
853.36,0.079127
853.5,0.078624
853.64,0.079317
853.78,0.080052
853.92,0.079011
854.06,0.078217
854.21,0.078541
854.35,0.079632
854.49,0.080347
854.63,0.080495
854.77,0.080319
854.91,0.079395
855.05,0.078357
855.19,0.078269
855.33,0.078428
855.47,0.077803
855.61,0.077899
855.76,0.078861
855.9,0.079523
856.04,0.079789
856.18,0.080028
856.32,0.079922
856.46,0.079262
856.6,0.078878
856.75,0.079372
856.89,0.079571
857.03,0.079044
857.17,0.078503
857.31,0.078304
857.45,0.0792
857.6,0.079359
857.74,0.078704
857.88,0.078575
858.02,0.078845
858.16,0.078568
858.31,0.078045
858.45,0.078099
858.59,0.078671
858.73,0.078084
858.87,0.078218
859.02,0.078426
859.16,0.078111
859.3,0.07779
859.44,0.077839
859.59,0.078835
859.73,0.078387
859.87,0.078265
860.01,0.079444
860.16,0.079823
860.3,0.079073
860.44,0.078193
860.59,0.078139
860.73,0.078796
860.87,0.07874
861.01,0.078593
861.16,0.079355
861.3,0.079586
861.44,0.079073
861.59,0.079341
861.73,0.080014
861.87,0.079305
862.02,0.078141
862.16,0.078029
862.3,0.078064
862.45,0.077942
862.59,0.078716
862.73,0.078863
862.88,0.078592
863.02,0.078398
863.16,0.078598
863.31,0.079181
863.45,0.079211
863.6,0.078455
863.74,0.078096
863.88,0.078404
864.03,0.07835
864.17,0.077796
864.32,0.078615
864.46,0.079135
864.6,0.078859
864.75,0.078183
864.89,0.078456
865.04,0.078576
865.18,0.077911
865.33,0.078016
865.47,0.077856
865.61,0.077948
865.76,0.078085
865.9,0.078215
866.05,0.078315
866.19,0.078356
866.34,0.078009
866.48,0.077753
866.63,0.078117
866.77,0.078538
866.92,0.078673
867.06,0.078272
867.21,0.078201
867.35,0.078825
867.5,0.079554
867.64,0.07916
867.79,0.077844
867.93,0.077357
868.08,0.077472
868.22,0.078078
868.37,0.07872
868.51,0.078229
868.66,0.077709
868.8,0.077988
868.95,0.077366
869.1,0.077193
869.24,0.077247
869.39,0.077454
869.53,0.077798
869.68,0.07839
869.83,0.078571
869.97,0.078134
870.12,0.07842
870.26,0.078629
870.41,0.077749
870.56,0.077443
870.7,0.078184
870.85,0.078103
870.99,0.077687
871.14,0.077764
871.29,0.077972
871.43,0.078098
871.58,0.07786
871.73,0.077887
871.87,0.077635
872.02,0.077404
872.17,0.07711
872.31,0.077052
872.46,0.077354
872.61,0.077232
872.75,0.077462
872.9,0.077801
873.05,0.077938
873.19,0.077906
873.34,0.077663
873.49,0.078051
873.64,0.078551
873.78,0.078176
873.93,0.078145
874.08,0.077955
874.23,0.077894
874.37,0.077712
874.52,0.077381
874.67,0.077378
874.82,0.077054
874.96,0.07709
875.11,0.077806
875.26,0.078156
875.41,0.077989
875.55,0.077456
875.7,0.077501
875.85,0.07739
