Composition,
Date Added,2013-07-16
Formula,
Grain Size Description,<400.0um
Grain Size,0.0 - 400.0
Locality,
Minimum Wavelength,300
Sample Name,NMB12-04
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Well indurated palagonite tuff from crest of southeast rim
Sample ID,BKR1BU006
Original Sample ID,BU-WHF-006
Viewing Geometry,
Wavelength,Response
300.0,41.85
305.0,39.67
310.0,37.81
315.0,36.57
320.0,36.56
325.0,36.07
330.0,37.02
335.0,38.2
340.0,39.73
345.0,41.0
350.0,40.5
355.0,39.94
360.0,40.38
365.0,41.57
370.0,43.33
375.0,45.47
380.0,47.85
385.0,50.42
390.0,56.0
395.0,58.05
400.0,61.01
405.0,62.38
410.0,63.74
415.0,65.62
420.0,68.05
425.0,69.93
430.0,73.66
435.0,77.31
440.0,81.01
445.0,84.24
450.0,87.03
455.0,89.6
460.0,91.39
465.0,92.79
470.0,94.07
475.0,95.76
480.0,98.27
485.0,101.28
490.0,105.19
495.0,109.82
500.0,115.12
505.0,120.94
510.0,126.68
515.0,132.52
520.0,138.17
525.0,143.89
530.0,149.37
535.0,154.48
540.0,159.19
545.0,163.62
550.0,167.56
555.0,171.67
560.0,175.51
565.0,179.1
570.0,182.66
575.0,185.68
580.0,188.78
585.0,191.73
590.0,194.57
595.0,197.35
600.0,199.65
605.0,202.28
610.0,204.71
615.0,206.75
620.0,209.19
625.0,211.4
630.0,213.21
635.0,215.2
640.0,217.01
645.0,218.78
650.0,220.62
655.0,221.85
660.0,223.29
665.0,225.03
670.0,226.02
675.0,227.32
680.0,228.58
685.0,229.51
690.0,230.94
695.0,231.75
700.0,233.01
705.0,234.13
710.0,234.88
715.0,235.72
720.0,236.32
725.0,237.07
730.0,237.83
735.0,237.96
740.0,238.51
745.0,239.07
750.0,239.56
755.0,239.08
760.0,239.14
765.0,239.15
770.0,239.74
775.0,239.26
780.0,239.36
785.0,239.69
790.0,239.2
795.0,239.33
800.0,238.98
805.0,238.82
810.0,238.91
815.0,238.42
820.0,238.24
825.0,237.95
830.0,237.6
835.0,237.41
840.0,236.86
845.0,236.29
850.0,235.96
855.0,235.07
860.0,234.67
865.0,234.12
870.0,233.73
875.0,233.94
880.0,232.87
885.0,233.13
890.0,233.01
895.0,232.86
900.0,232.72
905.0,232.58
910.0,232.44
915.0,232.3
920.0,232.16
925.0,232.02
930.0,231.88
935.0,231.74
940.0,231.6
945.0,231.46
950.0,231.32
955.0,231.18
960.0,231.04
965.0,230.9
970.0,230.76
975.0,230.62
980.0,230.35
985.0,230.25
990.0,229.85
995.0,229.97
1000.0,229.78
1005.0,229.62
1010.0,229.89
1015.0,229.75
1020.0,229.4
1025.0,229.81
1030.0,229.76
1035.0,230.08
1040.0,229.71
1045.0,230.36
1050.0,230.08
1055.0,230.56
1060.0,230.63
1065.0,230.91
1070.0,232.03
1075.0,231.72
1080.0,232.04
1085.0,232.55
1090.0,232.84
1095.0,232.18
1100.0,232.44
1105.0,232.66
1110.0,233.11
1115.0,233.93
1120.0,234.06
1125.0,234.64
1130.0,234.38
1135.0,234.99
1140.0,235.09
1145.0,235.23
1150.0,234.86
1155.0,234.94
1160.0,235.63
1165.0,235.98
1170.0,235.89
1175.0,236.18
1180.0,236.7
1185.0,237.04
1190.0,237.52
1195.0,237.74
1200.0,237.84
1205.0,238.43
1210.0,238.89
1215.0,239.55
1220.0,239.36
1225.0,239.9
1230.0,240.63
1235.0,239.97
1240.0,241.52
1245.0,241.79
1250.0,242.09
1255.0,241.86
1260.0,242.18
1265.0,242.67
1270.0,242.74
1275.0,243.41
1280.0,243.17
1285.0,243.57
1290.0,244.11
1295.0,244.66
1300.0,245.06
1300.5,245.02
1300.8,245.03
1301.2,245.15
1301.5,245.16
1301.8,245.12
1302.1,245.12
1302.5,245.11
1302.8,245.18
1303.1,245.22
1303.4,245.18
1303.8,245.23
1304.1,245.31
1304.4,245.29
1304.8,245.31
1305.1,245.31
1305.4,245.32
1305.8,245.41
1306.1,245.5
1306.4,245.54
1306.7,245.52
1307.1,245.44
1307.4,245.41
1307.7,245.51
1308.1,245.59
1308.4,245.55
1308.7,245.58
1309.1,245.6
1309.4,245.63
1309.7,245.66
1310.0,245.69
1310.4,245.69
1310.7,245.67
1311.0,245.74
1311.4,245.76
1311.7,245.7
1312.0,245.72
1312.4,245.78
1312.7,245.75
1313.0,245.76
1313.4,245.74
1313.7,245.75
1314.0,245.86
1314.4,245.91
1314.7,245.91
1315.0,245.88
1315.4,245.88
1315.7,245.97
1316.0,246.02
1316.4,245.96
1316.7,245.89
1317.0,245.96
1317.4,245.98
1317.7,245.96
1318.0,246.0
1318.4,246.04
1318.7,246.08
1319.0,246.04
1319.4,245.95
1319.7,246.01
1320.1,246.13
1320.4,246.19
1320.7,246.21
1321.1,246.18
1321.4,246.09
1321.7,246.16
1322.1,246.27
1322.4,246.28
1322.7,246.26
1323.1,246.29
1323.4,246.32
1323.8,246.35
1324.1,246.34
1324.4,246.34
1324.8,246.39
1325.1,246.33
1325.4,246.31
1325.8,246.36
1326.1,246.37
1326.5,246.32
1326.8,246.39
1327.1,246.55
1327.5,246.54
1327.8,246.45
1328.2,246.41
1328.5,246.38
1328.8,246.43
1329.2,246.5
1329.5,246.51
1329.9,246.51
1330.2,246.57
1330.6,246.64
1330.9,246.67
1331.2,246.66
1331.6,246.7
1331.9,246.75
1332.3,246.77
1332.6,246.75
1332.9,246.74
1333.3,246.74
1333.6,246.75
1334.0,246.7
1334.3,246.64
1334.7,246.65
1335.0,246.69
1335.3,246.76
1335.7,246.83
1336.0,246.83
1336.4,246.86
1336.7,246.91
1337.1,246.89
1337.4,246.86
1337.8,246.89
1338.1,246.93
1338.4,246.99
1338.8,246.95
1339.1,246.89
1339.5,246.92
1339.8,246.94
1340.2,246.88
1340.5,246.91
1340.9,247.01
1341.2,247.05
1341.6,247.07
1341.9,247.11
1342.3,247.07
1342.6,247.05
1342.9,247.13
1343.3,247.16
1343.7,247.1
1344.0,247.16
1344.3,247.17
1344.7,247.08
1345.0,247.09
1345.4,247.11
1345.7,247.13
1346.1,247.16
1346.4,247.16
1346.8,247.25
1347.1,247.26
1347.5,247.22
1347.8,247.23
1348.2,247.28
1348.5,247.34
1348.9,247.39
1349.3,247.34
1349.6,247.28
1349.9,247.33
1350.3,247.34
1350.7,247.29
1351.0,247.33
1351.3,247.41
1351.7,247.46
1352.1,247.44
1352.4,247.42
1352.8,247.46
1353.1,247.46
1353.5,247.47
1353.8,247.53
1354.2,247.49
1354.5,247.48
1354.9,247.54
1355.2,247.59
1355.6,247.61
1355.9,247.56
1356.3,247.59
1356.7,247.63
1357.0,247.62
1357.4,247.61
1357.7,247.68
1358.1,247.68
1358.4,247.7
1358.8,247.69
1359.2,247.65
1359.5,247.67
1359.9,247.74
1360.2,247.71
1360.6,247.65
1360.9,247.69
1361.3,247.7
1361.7,247.66
1362.0,247.67
1362.4,247.69
1362.7,247.69
1363.1,247.67
1363.4,247.6
1363.8,247.59
1364.2,247.56
1364.5,247.55
1364.9,247.48
1365.2,247.37
1365.6,247.26
1365.9,247.17
1366.3,247.13
1366.7,247.05
1367.0,246.97
1367.4,246.95
1367.8,246.91
1368.1,246.84
1368.5,246.83
1368.8,246.84
1369.2,246.86
1369.6,246.8
1369.9,246.78
1370.3,246.85
1370.7,246.87
1371.0,246.79
1371.4,246.81
1371.7,246.74
1372.1,246.67
1372.5,246.65
1372.8,246.66
1373.2,246.65
1373.6,246.64
1373.9,246.66
1374.3,246.63
1374.6,246.54
1375.0,246.56
1375.4,246.55
1375.7,246.48
1376.1,246.49
1376.5,246.44
1376.8,246.41
1377.2,246.41
1377.6,246.37
1377.9,246.41
1378.3,246.46
1378.7,246.39
1379.0,246.31
1379.4,246.33
1379.8,246.35
1380.1,246.3
1380.5,246.23
1380.9,246.24
1381.2,246.28
1381.6,246.31
1382.0,246.24
1382.3,246.19
1382.7,246.2
1383.1,246.24
1383.4,246.21
1383.8,246.15
1384.2,246.15
1384.6,246.15
1384.9,246.1
1385.3,246.09
1385.7,246.07
1386.0,246.03
1386.4,246.02
1386.8,245.95
1387.2,245.89
1387.5,245.86
1387.9,245.85
1388.3,245.74
1388.6,245.61
1389.0,245.55
1389.4,245.5
1389.8,245.53
1390.1,245.5
1390.5,245.36
1390.9,245.25
1391.2,245.18
1391.6,245.09
1392.0,245.01
1392.4,244.95
1392.7,244.87
1393.1,244.82
1393.5,244.78
1393.9,244.74
1394.2,244.6
1394.6,244.54
1395.0,244.52
1395.4,244.46
1395.7,244.41
1396.1,244.3
1396.5,244.21
1396.9,244.11
1397.2,244.04
1397.6,244.04
1398.0,243.99
1398.4,243.85
1398.8,243.74
1399.1,243.64
1399.5,243.5
1399.9,243.37
1400.3,243.29
1400.6,243.22
1401.0,243.14
1401.4,243.02
1401.8,242.93
1402.2,242.83
1402.5,242.66
1402.9,242.57
1403.3,242.57
1403.7,242.48
1404.1,242.32
1404.4,242.21
1404.8,242.07
1405.2,241.94
1405.6,241.9
1406.0,241.77
1406.3,241.65
1406.7,241.58
1407.1,241.5
1407.5,241.41
1407.9,241.31
1408.3,241.26
1408.6,241.17
1409.0,241.06
1409.4,241.02
1409.8,240.93
1410.2,240.89
1410.6,240.83
1410.9,240.75
1411.3,240.69
1411.7,240.59
1412.1,240.56
1412.5,240.52
1412.8,240.5
1413.2,240.51
1413.6,240.48
1414.0,240.5
1414.4,240.54
1414.8,240.46
1415.2,240.39
1415.6,240.35
1415.9,240.3
1416.3,240.25
1416.7,240.2
1417.1,240.26
1417.5,240.32
1417.9,240.3
1418.3,240.26
1418.7,240.24
1419.0,240.29
1419.4,240.36
1419.8,240.4
1420.2,240.32
1420.6,240.26
1421.0,240.28
1421.4,240.36
1421.8,240.43
1422.2,240.45
1422.5,240.44
1422.9,240.48
1423.3,240.57
1423.7,240.6
1424.1,240.56
1424.5,240.6
1424.9,240.64
1425.3,240.68
1425.7,240.74
1426.1,240.78
1426.5,240.83
1426.8,240.91
1427.2,240.97
1427.6,240.96
1428.0,240.99
1428.4,241.01
1428.8,241.02
1429.2,241.14
1429.6,241.24
1430.0,241.29
1430.4,241.4
1430.8,241.51
1431.2,241.52
1431.6,241.53
1432.0,241.65
1432.4,241.75
1432.8,241.86
1433.2,241.89
1433.6,241.9
1433.9,241.97
1434.3,242.08
1434.8,242.18
1435.1,242.21
1435.5,242.25
1435.9,242.31
1436.3,242.46
1436.7,242.56
1437.1,242.61
1437.5,242.72
1437.9,242.84
1438.3,242.91
1438.7,242.96
1439.1,243.11
1439.5,243.21
1439.9,243.28
1440.3,243.36
1440.7,243.43
1441.1,243.56
1441.5,243.69
1441.9,243.74
1442.3,243.8
1442.7,243.89
1443.1,243.97
1443.5,244.08
1443.9,244.15
1444.3,244.23
1444.7,244.3
1445.1,244.4
1445.6,244.49
1445.9,244.55
1446.3,244.62
1446.8,244.68
1447.2,244.79
1447.6,244.92
1448.0,244.98
1448.4,244.99
1448.8,245.08
1449.2,245.18
1449.6,245.24
1450.0,245.32
1450.4,245.38
1450.8,245.45
1451.2,245.57
1451.6,245.62
1452.0,245.67
1452.4,245.76
1452.8,245.88
1453.2,245.94
1453.7,246.05
1454.1,246.12
1454.5,246.15
1454.9,246.2
1455.3,246.22
1455.7,246.26
1456.1,246.35
1456.5,246.4
1456.9,246.43
1457.3,246.51
1457.7,246.64
1458.2,246.68
1458.6,246.68
1459.0,246.71
1459.4,246.76
1459.8,246.83
1460.2,246.92
1460.6,246.97
1461.0,247.02
1461.4,247.08
1461.8,247.14
1462.3,247.15
1462.7,247.23
1463.1,247.34
1463.5,247.35
1463.9,247.37
1464.3,247.41
1464.7,247.42
1465.2,247.42
1465.6,247.45
1466.0,247.5
1466.4,247.55
1466.8,247.61
1467.2,247.67
1467.6,247.75
1468.1,247.85
1468.5,247.9
1468.9,247.95
1469.3,248.02
1469.7,248.09
1470.1,248.17
1470.6,248.26
1471.0,248.27
1471.4,248.34
1471.8,248.44
1472.2,248.51
1472.6,248.53
1473.1,248.58
1473.5,248.67
1473.9,248.73
1474.3,248.8
1474.7,248.85
1475.2,248.9
1475.6,249.0
1476.0,249.09
1476.4,249.16
1476.8,249.21
1477.3,249.2
1477.7,249.21
1478.1,249.35
1478.5,249.54
1478.9,249.59
1479.4,249.54
1479.8,249.61
1480.2,249.69
1480.6,249.71
1481.1,249.82
1481.5,249.95
1481.9,250.01
1482.3,250.09
1482.8,250.18
1483.2,250.2
1483.6,250.23
1484.0,250.37
1484.4,250.45
1484.9,250.49
1485.3,250.57
1485.7,250.62
1486.2,250.65
1486.6,250.73
1487.0,250.86
1487.4,250.93
1487.9,250.97
1488.3,251.0
1488.7,251.04
1489.1,251.08
1489.6,251.11
1490.0,251.16
1490.4,251.31
1490.8,251.45
1491.3,251.47
1491.7,251.47
1492.1,251.56
1492.6,251.63
1493.0,251.65
1493.4,251.7
1493.9,251.79
1494.3,251.88
1494.7,251.91
1495.2,251.95
1495.6,251.98
1496.0,252.02
1496.4,252.1
1496.9,252.17
1497.3,252.23
1497.7,252.26
1498.2,252.32
1498.6,252.4
1499.0,252.43
1499.5,252.47
1499.9,252.56
1500.3,252.63
1500.8,252.66
1501.2,252.68
1501.7,252.74
1502.1,252.87
1502.5,252.92
1502.9,252.91
1503.4,252.92
1503.8,252.99
1504.3,253.05
1504.7,253.14
1505.1,253.23
1505.6,253.27
1506.0,253.25
1506.4,253.33
1506.9,253.43
1507.3,253.47
1507.8,253.43
1508.2,253.49
1508.6,253.57
1509.1,253.56
1509.5,253.62
1510.0,253.72
1510.4,253.77
1510.8,253.82
1511.3,253.84
1511.7,253.86
1512.2,253.92
1512.6,253.97
1513.0,253.99
1513.5,254.06
1513.9,254.15
1514.4,254.18
1514.8,254.18
1515.3,254.23
1515.7,254.31
1516.1,254.36
1516.6,254.36
1517.0,254.42
1517.5,254.43
1517.9,254.46
1518.4,254.56
1518.8,254.57
1519.3,254.6
1519.7,254.72
1520.1,254.75
1520.6,254.76
1521.0,254.77
1521.5,254.81
1521.9,254.87
1522.4,254.92
1522.8,254.9
1523.3,254.9
1523.7,255.02
1524.2,255.11
1524.6,255.11
1525.1,255.12
1525.5,255.14
1525.9,255.17
1526.4,255.23
1526.8,255.25
1527.3,255.27
1527.8,255.33
1528.2,255.34
1528.7,255.39
1529.1,255.48
1529.6,255.52
1530.0,255.55
1530.5,255.61
1530.9,255.62
1531.4,255.62
1531.8,255.62
1532.3,255.66
1532.7,255.69
1533.2,255.78
1533.6,255.85
1534.1,255.85
1534.5,255.89
1535.0,255.92
1535.4,255.94
1535.9,255.99
1536.3,256.04
1536.8,256.06
1537.3,256.1
1537.7,256.17
1538.2,256.18
1538.6,256.22
1539.1,256.25
1539.6,256.25
1540.0,256.29
1540.5,256.36
1540.9,256.33
1541.4,256.32
1541.8,256.36
1542.3,256.45
1542.8,256.53
1543.2,256.54
1543.7,256.51
1544.1,256.51
1544.6,256.52
1545.1,256.6
1545.5,256.68
1546.0,256.68
1546.4,256.67
1546.9,256.71
1547.4,256.75
1547.8,256.78
1548.3,256.79
1548.7,256.8
1549.2,256.84
1549.7,256.92
1550.1,256.97
1550.6,256.96
1551.1,257.01
1551.5,257.03
1552.0,257.04
1552.4,257.03
1552.9,257.05
1553.4,257.08
1553.8,257.09
1554.3,257.13
1554.8,257.17
1555.3,257.19
1555.7,257.21
1556.2,257.25
1556.7,257.37
1557.1,257.39
1557.6,257.34
1558.1,257.37
1558.5,257.45
1559.0,257.49
1559.5,257.47
1559.9,257.47
1560.4,257.51
1560.9,257.56
1561.3,257.56
1561.8,257.54
1562.3,257.56
1562.8,257.59
1563.2,257.62
1563.7,257.68
1564.2,257.74
1564.6,257.77
1565.1,257.79
1565.6,257.81
1566.1,257.81
1566.5,257.84
1567.0,257.85
1567.5,257.87
1567.9,257.9
1568.4,257.95
1568.9,258.01
1569.4,258.03
1569.8,258.05
1570.3,258.08
1570.8,258.13
1571.3,258.12
1571.8,258.13
1572.2,258.17
1572.7,258.11
1573.2,258.1
1573.7,258.17
1574.1,258.24
1574.6,258.29
1575.1,258.35
1575.6,258.39
1576.1,258.37
1576.5,258.35
1577.0,258.38
1577.5,258.4
1578.0,258.4
1578.4,258.42
1578.9,258.47
1579.4,258.54
1579.9,258.57
1580.4,258.64
1580.9,258.67
1581.3,258.63
1581.8,258.58
1582.3,258.61
1582.8,258.66
1583.3,258.67
1583.8,258.68
1584.2,258.65
1584.7,258.68
1585.2,258.79
1585.7,258.84
1586.2,258.84
1586.7,258.82
