Composition,
Date Added,2014-03-05
Formula,
Grain Size Description,<400.0um
Grain Size,0.0 - 400.0
Locality,
Minimum Wavelength,833
Sample Name,Summerville Fm. gypsum
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BIR1WF011
Original Sample ID,WF-WHF-011
Viewing Geometry,
Wavelength,Response
833.3,402.13
833.5,401.44
833.6,400.47
833.7,400.66
833.9,401.79
834.0,401.1
834.1,399.72
834.3,401.13
834.4,401.27
834.5,400.7
834.7,401.06
834.8,401.58
835.0,402.38
835.1,402.53
835.2,402.05
835.3,402.06
835.5,401.3
835.6,400.52
835.8,402.01
835.9,403.39
836.0,402.82
836.2,401.79
836.3,401.59
836.4,401.89
836.6,402.22
836.7,401.65
836.8,401.03
837.0,401.38
837.1,401.45
837.2,401.35
837.4,401.98
837.5,402.58
837.6,403.26
837.8,402.88
837.9,400.85
838.0,400.11
838.2,402.18
838.3,403.91
838.5,402.73
838.6,400.48
838.7,400.76
838.9,401.02
839.0,401.55
839.1,403.37
839.3,404.97
839.4,404.15
839.5,402.85
839.7,402.6
839.8,403.06
840.0,402.47
840.1,401.75
840.2,401.95
840.4,401.69
840.5,402.73
840.6,403.21
840.8,403.19
840.9,403.97
841.0,403.96
841.2,403.07
841.3,403.36
841.5,402.98
841.6,402.25
841.7,402.45
841.9,401.89
842.0,401.43
842.1,401.81
842.3,400.94
842.4,400.66
842.5,401.31
842.7,401.94
842.8,402.31
843.0,403.12
843.1,403.93
843.2,403.5
843.4,403.23
843.5,403.47
843.6,403.68
843.8,403.23
843.9,402.27
844.0,401.47
844.2,401.0
844.3,401.85
844.5,403.03
844.6,403.23
844.7,403.01
844.9,402.83
845.0,403.45
845.2,403.68
845.3,402.72
845.4,402.83
845.6,404.25
845.7,403.83
845.8,401.64
846.0,401.7
846.1,402.75
846.3,402.31
846.4,401.69
846.5,401.69
846.7,401.86
846.8,402.06
847.0,402.15
847.1,401.8
847.2,401.36
847.4,402.43
847.5,402.64
847.6,401.38
847.8,402.26
847.9,402.84
848.1,401.4
848.2,402.13
848.3,403.52
848.5,402.84
848.6,402.07
848.8,401.67
848.9,402.55
849.0,403.67
849.2,402.71
849.3,401.7
849.5,402.19
849.6,402.1
849.7,401.67
849.9,402.46
850.0,402.71
850.1,402.25
850.3,401.38
850.4,401.28
850.6,402.3
850.7,401.28
850.8,401.49
851.0,402.65
851.1,402.02
851.3,400.48
851.4,400.56
851.5,402.18
851.7,402.8
851.8,403.04
852.0,403.53
852.1,402.92
852.2,403.1
852.4,403.01
852.5,402.82
852.7,404.08
852.8,404.45
852.9,402.81
853.1,401.15
853.2,400.47
853.4,401.01
853.5,402.21
853.6,402.23
853.8,401.98
853.9,403.96
854.1,404.4
854.2,403.07
854.3,402.33
854.5,403.04
854.6,404.01
854.8,402.5
854.9,401.9
855.0,402.11
855.2,402.4
855.3,402.01
855.5,402.31
855.6,403.31
855.8,403.16
855.9,403.22
856.0,402.78
856.2,402.77
856.3,402.81
856.5,404.16
