Composition,
Date Added,2005-03-02
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,Synthetic 
Minimum Wavelength,1428
Sample Name,KC-17 30m
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Red
References,
Resolution,4.0
Material class,Synthetic
Sample Description,30 minute sedimentation in water
Sample ID,BMR1YS019
Original Sample ID,YS-YGS-019
Viewing Geometry,unknown
Wavelength,Response
1428.4,0.48925
1428.8,0.48936
1429.2,0.48977
1429.6,0.49018
1430.0,0.48973
1430.4,0.48977
1430.8,0.49042
1431.2,0.49079
1431.6,0.49066
1432.0,0.49043
1432.4,0.49024
1432.8,0.49023
1433.2,0.49032
1433.6,0.49036
1433.9,0.49055
1434.3,0.49079
1434.8,0.49111
1435.1,0.49139
1435.5,0.49122
1435.9,0.49096
1436.3,0.49121
1436.7,0.49125
1437.1,0.49142
1437.5,0.49161
1437.9,0.49186
1438.3,0.49171
1438.7,0.49184
1439.1,0.49201
1439.5,0.49203
1439.9,0.49174
1440.3,0.49187
1440.7,0.49188
1441.1,0.4916
1441.5,0.49191
1441.9,0.49224
1442.3,0.4921
1442.7,0.49197
1443.1,0.49204
1443.5,0.49236
1443.9,0.49228
1444.3,0.49218
1444.7,0.4923
1445.2,0.49243
1445.6,0.49283
1445.9,0.49296
1446.3,0.49288
1446.8,0.49289
1447.2,0.49293
1447.6,0.49315
1448.0,0.49357
1448.4,0.49355
1448.8,0.49329
1449.2,0.49322
1449.6,0.49273
1450.0,0.49307
1450.4,0.49344
1450.8,0.49367
1451.2,0.49377
1451.6,0.49369
1452.0,0.4944
1452.4,0.4946
1452.8,0.49408
1453.3,0.49382
1453.7,0.49371
1454.1,0.49363
1454.5,0.49384
1454.9,0.49391
1455.3,0.49438
1455.7,0.49456
1456.1,0.49416
1456.5,0.49401
1456.9,0.4942
1457.3,0.49422
1457.7,0.49402
1458.2,0.49406
1458.6,0.49416
1459.0,0.49428
1459.4,0.49445
1459.8,0.49472
1460.2,0.49457
1460.6,0.49453
1461.0,0.4947
1461.4,0.49432
1461.8,0.49404
1462.3,0.49403
1462.7,0.49424
1463.1,0.49454
1463.5,0.49493
1463.9,0.49529
1464.3,0.49508
1464.7,0.49483
1465.2,0.49507
1465.6,0.49533
1466.0,0.4951
1466.4,0.49492
1466.8,0.49501
1467.2,0.49517
1467.6,0.49533
1468.1,0.49549
1468.5,0.49534
1468.9,0.49554
1469.3,0.49584
1469.7,0.49579
1470.1,0.49571
1470.6,0.4959
1471.0,0.49641
1471.4,0.4962
1471.8,0.49575
1472.2,0.49589
1472.7,0.49595
1473.1,0.496
1473.5,0.49596
1473.9,0.496
1474.3,0.49576
1474.7,0.49585
1475.2,0.49614
1475.6,0.4961
1476.0,0.49597
1476.4,0.49601
1476.8,0.49646
1477.3,0.4967
1477.7,0.49666
1478.1,0.4969
1478.5,0.4967
1478.9,0.49651
1479.4,0.49661
1479.8,0.49686
1480.2,0.49698
1480.6,0.49695
1481.1,0.49716
1481.5,0.49743
1481.9,0.49737
1482.3,0.49715
1482.8,0.49713
1483.2,0.49724
1483.6,0.49716
1484.0,0.49712
1484.4,0.4975
1484.9,0.49775
1485.3,0.49736
1485.7,0.49713
1486.2,0.49707
1486.6,0.49719
1487.0,0.49738
1487.4,0.49746
1487.9,0.49762
1488.3,0.49811
1488.7,0.49801
1489.1,0.49768
1489.6,0.4978
1490.0,0.49784
1490.4,0.49787
1490.8,0.49785
1491.3,0.49776
1491.7,0.49799
1492.1,0.49788
1492.6,0.49787
1493.0,0.49783
1493.4,0.49801
1493.9,0.4984
1494.3,0.49829
1494.7,0.49829
1495.2,0.49819
1495.6,0.49796
1496.0,0.49802
1496.4,0.49831
1496.9,0.49881
1497.3,0.49875
1497.8,0.49848
1498.2,0.49873
1498.6,0.49878
1499.0,0.49863
1499.5,0.49863
1499.9,0.49886
1500.3,0.49882
1500.8,0.49872
1501.2,0.49882
1501.7,0.49894
1502.1,0.49902
1502.5,0.49904
1503.0,0.49932
1503.4,0.4995
1503.8,0.4995
1504.3,0.49978
1504.7,0.49986
1505.1,0.49968
1505.6,0.49962
1506.0,0.49921
1506.4,0.49914
1506.9,0.4995
1507.3,0.49958
1507.8,0.49941
1508.2,0.49962
1508.6,0.49961
1509.1,0.49986
1509.5,0.49993
1510.0,0.49993
1510.4,0.49967
1510.8,0.49952
1511.3,0.49963
1511.7,0.4998
1512.2,0.49987
1512.6,0.50016
1513.0,0.5
1513.5,0.49964
1513.9,0.49963
1514.4,0.49997
1514.8,0.50028
1515.3,0.5004
1515.7,0.50019
1516.1,0.49981
1516.6,0.49994
