Composition,
Date Added,1999-02-12
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,
Minimum Wavelength,900
Sample Name,SiO2 <50 nm loose
Maximum Wavelength,25920
Database of Origin,RELAB
Other Information,Quartz
References,
Resolution,9.0
Material class,Mineral
Sample Description,SiO2 <50 nm condensed from gase phase.  
Sample ID,S1YS01A
Original Sample ID,YS-YGS-001-A
Viewing Geometry,Unknown
Wavelength,Response
900.4,0.0979
901.1,0.09806
901.7,0.09784
902.3,0.09762
902.9,0.09756
903.6,0.09774
904.2,0.09798
904.8,0.09804
905.5,0.09802
906.1,0.09797
906.7,0.09802
907.4,0.09806
908.0,0.09799
908.6,0.09798
909.3,0.09788
909.9,0.09791
910.6,0.09816
911.2,0.09822
911.8,0.09801
912.5,0.09788
913.1,0.09804
913.8,0.0981
914.4,0.09817
915.1,0.09809
915.7,0.0981
916.3,0.09825
917.0,0.09823
917.6,0.09818
918.3,0.09807
918.9,0.09755
919.6,0.0968
920.3,0.0975
920.9,0.0981
921.6,0.09797
922.2,0.0979
922.9,0.09774
923.5,0.09759
924.2,0.09789
924.9,0.09813
925.5,0.09791
926.2,0.09812
926.8,0.09807
927.5,0.09699
928.2,0.09702
928.8,0.09817
929.5,0.09844
930.2,0.09814
930.8,0.09794
931.5,0.09795
932.2,0.09806
932.8,0.09798
933.5,0.09781
934.2,0.09785
934.9,0.0977
935.5,0.09732
936.2,0.09699
936.9,0.09735
937.6,0.09743
938.2,0.09739
938.9,0.0973
939.6,0.09736
940.3,0.0975
941.0,0.09745
941.7,0.09742
942.3,0.09749
943.0,0.09746
943.7,0.09739
944.4,0.09739
945.1,0.09733
945.8,0.0972
946.5,0.09709
947.2,0.09713
947.9,0.09717
948.5,0.09708
949.2,0.09698
949.9,0.09696
950.6,0.09702
951.3,0.09707
952.0,0.09701
952.7,0.09694
953.4,0.09681
954.1,0.09687
954.8,0.09689
955.5,0.0969
956.2,0.09681
957.0,0.09676
957.7,0.09673
958.4,0.09655
959.1,0.09648
959.8,0.09649
960.5,0.09654
961.2,0.09641
961.9,0.09621
962.6,0.09619
963.4,0.09627
964.1,0.09609
964.8,0.09593
965.5,0.09589
966.2,0.09595
967.0,0.09587
967.7,0.09587
968.4,0.09591
969.1,0.09585
969.8,0.09566
970.6,0.0956
971.3,0.0956
972.0,0.09553
972.8,0.0955
973.5,0.09544
974.2,0.0954
975.0,0.09542
975.7,0.09528
976.4,0.09527
977.2,0.09529
977.9,0.09514
978.6,0.09498
979.4,0.09481
980.1,0.09485
980.9,0.09505
981.6,0.09493
982.3,0.09471
983.1,0.09449
983.8,0.0945
984.6,0.09467
985.3,0.09461
986.1,0.09444
986.8,0.09431
987.6,0.09425
988.3,0.09417
989.1,0.0942
989.9,0.09409
990.6,0.09389
991.4,0.09392
992.1,0.09389
992.9,0.0937
993.6,0.09364
994.4,0.09362
995.2,0.09351
995.9,0.09339
996.7,0.09349
997.5,0.09345
998.2,0.0932
999.0,0.09316
999.8,0.09312
1000.6,0.09309
1001.3,0.09305
1002.1,0.09293
1002.9,0.0928
1003.7,0.09252
1004.4,0.09255
1005.2,0.09269
1006.0,0.09262
1006.8,0.09259
1007.6,0.0925
1008.3,0.09242
1009.1,0.09223
1009.9,0.09214
1010.7,0.09209
1011.5,0.09192
1012.3,0.09197
1013.1,0.09219
1013.9,0.09221
1014.7,0.09197
1015.5,0.09175
1016.2,0.09166
1017.0,0.09162
1017.8,0.09148
1018.6,0.09143
1019.4,0.09141
1020.2,0.09123
1021.1,0.09117
1021.9,0.09115
1022.7,0.09114
1023.5,0.09115
1024.3,0.091
1025.1,0.09082
1025.9,0.09063
1026.7,0.09057
1027.5,0.09053
1028.3,0.09042
1029.2,0.09033
1030.0,0.09028
1030.8,0.09023
1031.6,0.09018
1032.4,0.09012
1033.3,0.09003
1034.1,0.08994
1034.9,0.08976
1035.7,0.08967
1036.6,0.08966
1037.4,0.0896
1038.2,0.08954
1039.1,0.08939
1039.9,0.08923
1040.7,0.08918
1041.6,0.08914
